Sequence	Contig	Position	SexBias	P	Signif
4611475	CP020642.1	6831876	0.0666667	0.450577	False
4611477	CP020639.1	17976466	-0.221505	0.0861662	False
4611691	CP020637.1	32948890	0.122581	0.4227	False
4612069	CP020629.1	29111869	0.175269	0.239889	False
4612516	CP020624.1	19030704	0.133333	0.110857	False
4612890	CP020631.1	3419285	0	1	False
4613751	CP020625.1	3514045	0.134409	0.180461	False
4614144	CP020642.1	6553256	0	1	False
4614951	CP020627.1	32201537	-0.13871	0.322942	False
4615660	CP020643.1	15286699	0.0204301	1	False
4616125	CP020631.1	24258498	0	1	False
4616501	CP020631.1	13369524	0	1	False
4616699	CP020637.1	33120562	0.122581	0.4227	False
4617251	CP020644.1	12232392	0.00107527	1	False
4617443	CP020643.1	22452652	-0.170968	0.185976	False
4618236	CP020624.1	26974750	0.00752687	1	False
4620417	CP020627.1	10391732	-0.104301	0.464368	False
4620579	CP020628.1	2741	0.0806451	0.704584	False
4620669	CP020626.1	19229598	-0.0537634	0.861184	False
4622051	CP020623.1	26537666	0	1	False
4622140	CP020623.1	37711080	0	1	False
4623820	CP020637.1	22346562	-0.0763441	0.713849	False
4623947	CP020640.1	21616289	0	1	False
4624032	CP020631.1	10490573	-0.153763	0.305612	False
4625829	CP020631.1	23684458	-0.158064	0.201356	False
4626478	CP020635.1	23068804	0	1	False
4626726	CP020626.1	21063978	0	1	False
4627595	CP020634.1	23612940	-0.3	0.00320031	False
4627598	CP020621.1	7818849	-0.18172	0.24155	False
4628191	CP020622.1	23010928	-0.141935	0.361634	False
4629344	CP020638.1	11044042	0	1	False
4629440	CP020622.1	17224757	-0.0172043	1	False
4629656	CP020638.1	2047598	-0.0247312	1	False
4630458	CP020629.1	3807411	0	1	False
4631053	CP020639.1	18828304	0	1	False
4631200	CP020635.1	27737620	0.0838709	0.684937	False
4631304	CP020632.1	2485432	-0.182796	0.234602	False
4631499	CP020624.1	17391933	0.0548387	0.85102	False
4631817	CP020629.1	17696546	0.246237	0.0946772	False
4632252	CP020644.1	6157161	-0.150538	0.347698	False
4632552	CP020637.1	12720806	-0.110753	0.527127	False
4633807	CP020629.1	25764741	0.112903	0.526105	False
4633930	CP020622.1	22946666	0.290323	0.00449349	False
4634057	CP020623.1	10678210	0.106452	0.501112	False
4634220	CP020625.1	1580356	0	1	False
4634691	CP020636.1	3959765	0.0107527	1	False
4635912	CP020626.1	32157403	0.0677419	0.575671	False
4635937	CP020621.1	3351076	0.00107527	1	False
4636097	CP020640.1	4741725	-0.27957	0.0531565	False
4636290	CP020636.1	7374612	0.0817204	0.699265	False
4636403	CP020628.1	3489555	-0.0924731	0.540837	False
4636729	CP020642.1	327977	0	1	False
4637370	CP020644.1	21488959	0	1	False
4637428	CP020627.1	15022456	0.044086	0.922566	False
4641422	CP020642.1	12078326	0	1	False
4641507	CP020627.1	32276898	0.00215054	1	False
4641715	CP020622.1	8980276	0	1	False
4642522	CP020643.1	22194962	0	1	False
4642833	CP020632.1	23371095	0.105376	0.485695	False
4642903	CP020629.1	26859841	-0.202151	0.0731611	False
4643005	CP020622.1	23004621	-0.0731183	0.704393	False
4643892	CP020644.1	21138320	-0.0870968	0.652231	False
4644744	CP020634.1	10596805	0	1	False
4644834	CP020632.1	18751496	0.256989	0.0177786	False
4645501	CP020642.1	252679	0	1	False
4645789	CP020627.1	29217578	0	1	False
4645985	CP020636.1	32283063	-0.205376	0.124372	False
4646015	CP020633.1	11237122	0	1	False
4647074	CP020633.1	1921385	-0.272043	0.0400868	False
4647079	CP020637.1	27290329	0.235484	0.0390203	False
4647704	CP020637.1	22406029	0.151613	0.336255	False
4648589	CP020639.1	17974223	0	1	False
4648903	CP020634.1	13114726	0.0569892	0.826241	False
4649310	CP020640.1	1285120	0.115054	0.517855	False
4650707	CP020635.1	13582356	-0.0946237	0.444854	False
4651047	CP020621.1	16000	0	1	False
4651615	CP020636.1	17340575	0.0666667	0.450577	False
4652055	CP020623.1	3118057	0	1	False
4652134	CP020625.1	14378587	0.251613	0.0680747	False
4652774	CP020633.1	22243416	0	1	False
4653035	CP020641.1	29271322	-0.0150538	1	False
4653091	CP020643.1	23763996	0	1	False
4653237	CP020643.1	17837138	0.0505376	0.886108	False
4653670	CP020641.1	32759578	0.111828	0.527561	False
4654819	CP020642.1	28786322	0	1	False
4655162	CP020629.1	17214904	0	1	False
4655194	CP020623.1	26124442	0.00215054	1	False
4655220	CP020627.1	23638524	-0.13871	0.322942	False
4655478	CP020626.1	16782282	0.0731183	0.704393	False
4656479	CP020630.1	28693106	0.0752688	0.712706	False
4657063	CP020623.1	21446784	0	1	False
4658590	CP020644.1	4322141	0	1	False
4659258	CP020633.1	3120820	-0.0247312	1	False
4659334	CP020622.1	938379	0.207527	0.14489	False
4660018	CP020624.1	22860938	-0.117204	0.50241	False
4660293	CP020632.1	29485860	0	1	False
4660929	CP020635.1	14246401	-0.0752688	0.712706	False
4661161	CP020621.1	24745533	0	1	False
4661340	CP020631.1	762912	0.222581	0.0695703	False
4662152	CP020637.1	11312382	0.107527	0.512148	False
4662394	CP020632.1	16959660	0	1	False
4663358	CP020625.1	26234255	0	1	False
4663632	CP020632.1	2286774	-0.212903	0.158279	False
4663733	CP020626.1	9147595	-0.234409	0.0260371	False
4663746	CP020637.1	31710299	-0.0247312	1	False
4663943	CP020644.1	20141056	0.00107527	1	False
4664112	CP020629.1	6364576	0.0333334	0.973624	False
4666285	CP020623.1	35829117	-0.104301	0.464368	False
4666725	CP020621.1	13070598	-0.125806	0.32382	False
4666874	CP020621.1	1657877	0.00107527	1	False
4667249	CP020628.1	25877475	0	1	False
4668366	CP020640.1	10721461	0.190323	0.120525	False
4668562	CP020630.1	12281579	-0.0795699	0.708735	False
4668837	CP020630.1	29232022	0	1	False
4669443	CP020644.1	4101490	0.0344086	0.969025	False
4669848	CP020622.1	23044684	-0.0591398	0.791747	False
4670521	CP020639.1	8407618	0.0419355	0.932835	False
4671073	CP020636.1	6838424	0.107527	0.512148	False
4671379	CP020626.1	15506341	0	1	False
4671677	CP020628.1	25683189	-0.0204301	1	False
4671829	CP020621.1	28210296	0	1	False
4671871	CP020639.1	1251169	-0.129032	0.126884	False
4672531	CP020624.1	19141442	0.108602	0.519773	False
4672581	CP020621.1	774220	0.00645161	1	False
4672631	CP020633.1	788453	0	1	False
4673124	CP020634.1	17018785	0.113978	0.522859	False
4673464	CP020641.1	31019495	0	1	False
4674527	CP020632.1	9081904	0	1	False
4674646	CP020641.1	761286	-0.174194	0.231412	False
4675237	CP020632.1	14028142	0.149462	0.356863	False
4675707	CP020631.1	14188149	0	1	False
4677241	CP020625.1	28474070	0	1	False
4677386	CP020621.1	1912453	0	1	False
4677557	CP020634.1	24398325	-0.0430108	0.927762	False
4677657	CP020631.1	27700644	0	1	False
4677714	CP020624.1	28843684	0	1	False
4677983	CP020630.1	19723784	-0.0752688	0.712706	False
4678126	CP020637.1	20584619	0	1	False
4678920	CP020627.1	1587804	-0.122581	0.4227	False
4680266	CP020631.1	10668929	-0.144086	0.371418	False
4680316	CP020623.1	38149323	0	1	False
4680582	CP020634.1	15927342	0.0591398	0.791747	False
4681286	CP020621.1	4142499	0.0333334	0.973624	False
4681796	CP020624.1	31819438	0.0817204	0.699265	False
4682251	CP020631.1	24564938	0.190323	0.120525	False
4682414	CP020623.1	22150754	0	1	False
4682739	CP020642.1	22569058	0.109677	0.524624	False
4682931	CP020626.1	9788677	0	1	False
4683531	CP020644.1	9891384	0.282796	0.0435417	False
4683549	CP020637.1	6913255	-0.0322581	1	False
4684022	CP020632.1	18772446	0.37957	0.0061022	False
4684468	CP020639.1	2107930	-0.00967744	1	False
4684816	CP020641.1	32143622	0.0537634	0.861184	False
4684939	CP020629.1	938529	0.00752687	1	False
4685048	CP020634.1	28100362	0	1	False
4685482	CP020624.1	13626603	0	1	False
4685574	CP020644.1	16996585	0	1	False
4685641	CP020629.1	6322064	0	1	False
4685823	CP020628.1	14698623	-0.341936	0.0144815	False
4686628	CP020626.1	26896279	0	1	False
4686649	CP020638.1	22185390	-0.139785	0.339851	False
4687276	CP020623.1	26542299	0	1	False
4687733	CP020630.1	20361706	0.0107527	1	False
4688235	CP020634.1	15974756	-0.0322581	1	False
4688340	CP020642.1	13451004	0	1	False
4688571	CP020644.1	12998365	-0.0268817	1	False
4688713	CP020629.1	30067899	-0.201075	0.0508527	False
4688731	CP020643.1	2056969	0.170968	0.185976	False
4688829	CP020634.1	27779374	-0.00967744	1	False
4689790	CP020628.1	19605543	0.0333334	0.973624	False
4690707	CP020643.1	4778852	-0.023656	1	False
4690962	CP020642.1	5878745	0	1	False
4691082	CP020621.1	3561766	0.0505376	0.886108	False
4691796	CP020641.1	32157531	-0.124731	0.363715	False
4692441	CP020632.1	6624186	-0.305376	0.0212902	False
4692533	CP020628.1	23955482	0.0666667	0.450577	False
4693119	CP020633.1	949351	0	1	False
4693489	CP020621.1	20888088	0	1	False
4693494	CP020643.1	11725852	-0.0268817	1	False
4693562	CP020638.1	721821	-0.0247312	1	False
4693715	CP020635.1	26715849	0	1	False
4694110	CP020640.1	8769448	0.0193548	1	False
4694444	CP020633.1	1356062	0.106452	0.501112	False
4694748	CP020621.1	8736789	-0.0311828	1	False
4695023	CP020628.1	992	-0.169892	0.162166	False
4695134	CP020640.1	15734420	0.0376344	0.952798	False
4695541	CP020621.1	31656347	0	1	False
4695745	CP020628.1	14011809	0.00107527	1	False
4695840	CP020636.1	19895375	-0.119355	0.478812	False
4696821	CP020630.1	33143834	-0.0849462	0.67572	False
4697005	CP020639.1	3906149	0.00752687	1	False
4697036	CP020621.1	10140844	-0.0817205	0.699265	False
4697432	CP020637.1	14679012	0	1	False
4697524	CP020626.1	7486905	0	1	False
4697785	CP020624.1	28590512	0.0387096	0.947758	False
4697859	CP020638.1	14892392	0	1	False
4697950	CP020636.1	1177113	-0.0301076	1	False
4697964	CP020622.1	6074358	-0.115054	0.517855	False
4698011	CP020637.1	11723429	0.108602	0.519773	False
4698242	CP020639.1	10360983	-0.0268817	1	False
4698467	CP020635.1	27017617	-0.221505	0.0861662	False
4698690	CP020627.1	21051154	0.15914	0.162427	False
4699567	CP020643.1	20676774	0	1	False
4699623	CP020622.1	5365866	-0.0430108	0.927762	False
4699861	CP020622.1	16220200	-0.122581	0.4227	False
4700564	CP020627.1	3316673	0.308602	0.0282359	False
4700922	CP020636.1	3480665	-0.149462	0.356863	False
4701515	CP020643.1	19327384	0	1	False
4701668	CP020634.1	1046580	-0.0795699	0.708735	False
4701737	CP020640.1	3467912	0	1	False
4701756	CP020634.1	6403244	0.268817	0.0201481	False
4702038	CP020641.1	29490389	0	1	False
4702279	CP020627.1	21019468	0	1	False
4702399	CP020633.1	5196235	0.305376	0.0212902	False
4703056	CP020625.1	24419224	0	1	False
4703305	CP020630.1	12712055	0	1	False
4703723	CP020621.1	2405172	0.0741935	0.709715	False
4704997	CP020623.1	32883380	0	1	False
4705471	CP020628.1	5299832	-0.136559	0.271313	False
4706511	CP020632.1	3196469	-0.112903	0.526105	False
4706564	CP020628.1	6060801	0	1	False
4706586	CP020642.1	9232625	-0.0645161	0.47938	False
4706636	CP020642.1	8410447	0	1	False
4706671	CP020636.1	5727858	0.221505	0.0861662	False
4706759	CP020632.1	16953033	0	1	False
4706829	CP020641.1	3436961	0.102151	0.39187	False
4707133	CP020633.1	11230077	0	1	False
4708153	CP020626.1	32166944	0.188172	0.166369	False
4708950	CP020625.1	1322892	-0.113979	0.522859	False
4709535	CP020642.1	2552119	0.00215054	1	False
4709551	CP020634.1	28916726	-0.0924731	0.540837	False
4709809	CP020644.1	11441624	0.110753	0.527127	False
4710805	CP020627.1	3316673	0.353763	0.00217301	False
4710980	CP020633.1	877804	0.416129	0.00120959	False
4711302	CP020636.1	30372275	0.155914	0.262188	False
4711312	CP020633.1	25629726	0.00107527	1	False
4711532	CP020638.1	7115726	-0.0107527	1	False
4711823	CP020634.1	8061817	0.234409	0.0260371	False
4711863	CP020625.1	20456736	-0.0548387	0.85102	False
4712234	CP020628.1	14996532	0	1	False
4712387	CP020621.1	30263866	0	1	False
4712658	CP020633.1	16226452	-0.0634409	0.622808	False
4712953	CP020625.1	7391843	0.00215054	1	False
4713036	CP020631.1	9766620	-0.0860215	0.664906	False
4713138	CP020627.1	10761163	0	1	False
4713248	CP020634.1	2229109	0.0333334	0.973624	False
4713581	CP020628.1	5675092	0	1	False
4713967	CP020621.1	37188373	0.134409	0.180461	False
4714530	CP020633.1	21546281	-0.204301	0.110163	False
4714732	CP020634.1	17041549	0.00107527	1	False
4714788	CP020626.1	2890625	0	1	False
4714856	CP020628.1	4673443	-0.0827957	0.692742	False
4715054	CP020627.1	26822923	-0.0139785	1	False
4715449	CP020639.1	4120307	-0.124731	0.363715	False
4716827	CP020621.1	15588868	0	1	False
4718208	CP020623.1	3848582	-0.147312	0.368866	False
4719599	CP020634.1	17178367	0.11828	0.491734	False
4719652	CP020630.1	3241250	0	1	False
4720122	CP020637.1	6425511	0	1	False
4720841	CP020642.1	24395994	0	1	False
4721841	CP020628.1	3619449	0.0774193	0.713453	False
4722087	CP020622.1	21076119	-0.183871	0.225583	False
4723073	CP020629.1	14042191	0	1	False
4723819	CP020639.1	22674821	0	1	False
4724265	CP020630.1	7435444	0.0344086	0.969025	False
4725197	CP020628.1	21804535	-0.0967742	0.244047	False
4726003	CP020626.1	14717937	0.0333334	0.973624	False
4726178	CP020633.1	11651338	0	1	False
4726458	CP020644.1	21476450	-0.139785	0.339851	False
4726608	CP020636.1	8703331	0	1	False
4726673	CP020623.1	36319927	0.0333334	0.973624	False
4727868	CP020633.1	2436783	-0.0946237	0.444854	False
4728546	CP020633.1	6949804	-0.0548387	0.85102	False
4728553	CP020633.1	23485446	0.121505	0.444828	False
4728629	CP020626.1	2142682	-0.0817205	0.699265	False
4729041	CP020631.1	2286246	-0.0817205	0.699265	False
4729671	CP020636.1	27724094	-0.0408602	0.937829	False
4729695	CP020623.1	27251899	0	1	False
4729855	CP020625.1	1625869	0	1	False
4729919	CP020639.1	12560710	0.0741935	0.709715	False
4730306	CP020644.1	18236201	-0.0870968	0.652231	False
4730761	CP020632.1	1518522	0	1	False
4730807	CP020632.1	25560849	0	1	False
4731269	CP020631.1	223789	0.0107527	1	False
4731717	CP020631.1	2415396	0.00215054	1	False
4731972	CP020625.1	27197281	0.0215054	1	False
4732140	CP020624.1	26293799	-0.0956989	0.366516	False
4732463	CP020624.1	23893811	0	1	False
4732523	CP020639.1	10025714	0	1	False
4733411	CP020634.1	29478755	0.0333334	0.973624	False
4733753	CP020634.1	8595198	0.0333334	0.973624	False
4734028	CP020625.1	7494241	0	1	False
4734432	CP020644.1	9082381	0	1	False
4735310	CP020643.1	10243832	0	1	False
4735547	CP020624.1	4339671	-0.308602	0.0282359	False
4735833	CP020627.1	33142568	0.0333334	0.973624	False
4735876	CP020640.1	4717030	-0.0311828	1	False
4736930	CP020637.1	30456823	0	1	False
4737734	CP020635.1	30079305	-0.154839	0.285735	False
4737746	CP020627.1	9512305	0.21828	0.126332	False
4738900	CP020637.1	17834634	-0.072043	0.695957	False
4739768	CP020623.1	26149205	0.0677419	0.575671	False
4740852	CP020638.1	13026245	0	1	False
4740974	CP020642.1	1142141	-0.116129	0.511067	False
4741266	CP020639.1	14515162	0.124731	0.363715	False
4742146	CP020644.1	14477808	-0.0645161	0.47938	False
4742902	CP020630.1	24187567	-0.266667	0.00669954	False
4743189	CP020636.1	23757848	-0.139785	0.339851	False
4743457	CP020636.1	26122818	0	1	False
4743650	CP020625.1	21668332	-0.406452	0.00278192	False
4744102	CP020627.1	15102035	-0.0892473	0.619679	False
4744129	CP020636.1	33077315	0	1	False
4744908	CP020629.1	19973730	0.0731183	0.704393	False
4745493	CP020636.1	23791055	-0.155914	0.262188	False
4745497	CP020631.1	10395740	-0.106452	0.501112	False
4746889	CP020631.1	14503871	-0.266667	0.00669954	False
4746897	CP020633.1	3120740	-0.0247312	1	False
4747061	CP020628.1	1521865	0.0677419	0.575671	False
4747580	CP020634.1	30139675	0.113978	0.522859	False
4749009	CP020627.1	8388799	0.0795699	0.708735	False
4749025	CP020636.1	25429814	0.191398	0.0932656	False
4749955	CP020632.1	7214514	0	1	False
4750393	CP020642.1	11940414	0	1	False
4750670	CP020636.1	25970780	0.305376	0.0212902	False
4750701	CP020641.1	30838745	-0.0494624	0.89311	False
4750719	CP020641.1	23216949	0	1	False
4750794	CP020630.1	29186372	0	1	False
4753058	CP020624.1	29663528	-0.217204	0.136215	False
4753707	CP020642.1	18278916	0.190323	0.120525	False
4754000	CP020643.1	20542197	0	1	False
4754780	CP020622.1	6074449	0.175269	0.239889	False
4755111	CP020636.1	19050450	-0.108602	0.519773	False
4755544	CP020636.1	29281443	0.0032258	1	False
4756206	CP020636.1	33259017	0	1	False
4756252	CP020622.1	9199371	-0.144086	0.371418	False
4758198	CP020628.1	16214358	0	1	False
4758232	CP020631.1	3488915	0.0666667	0.450577	False
4759335	CP020622.1	22946137	-0.148387	0.363892	False
4759362	CP020628.1	25607428	0.119355	0.478812	False
4759545	CP020627.1	18028094	-0.0591398	0.791747	False
4759838	CP020628.1	22287399	0.136559	0.271313	False
4760134	CP020634.1	19223657	0	1	False
4763391	CP020637.1	28309487	0	1	False
4764995	CP020641.1	29972762	0	1	False
4765021	CP020633.1	1158002	0	1	False
4765251	CP020633.1	12129559	0.104301	0.464368	False
4765288	CP020622.1	22875208	0.0677419	0.575671	False
4765299	CP020623.1	3122941	0	1	False
4765755	CP020628.1	7446804	-0.0924731	0.540837	False
4766301	CP020634.1	17635561	0	1	False
4766742	CP020636.1	32034212	0	1	False
4767283	CP020642.1	25977646	0	1	False
4767707	CP020634.1	2314467	0	1	False
4768082	CP020632.1	14673280	0.149462	0.356863	False
4768709	CP020622.1	510395	0.307527	0.0265736	False
4768781	CP020641.1	32360044	0.0752688	0.712706	False
4769377	CP020635.1	10559548	0	1	False
4769665	CP020639.1	12965293	0.123656	0.396075	False
4770149	CP020641.1	32646665	0.0107527	1	False
4770805	CP020632.1	16395388	0.115054	0.517855	False
4770875	CP020635.1	21979395	0.11828	0.491734	False
4771396	CP020634.1	22533726	0.1	0.221263	False
4772663	CP020632.1	20157020	0.0333334	0.973624	False
4772725	CP020641.1	31964318	0.11828	0.491734	False
4772727	CP020622.1	14144976	-0.0268817	1	False
4772961	CP020629.1	18924994	0	1	False
4773255	CP020637.1	12842269	0.0462366	0.911632	False
4773625	CP020640.1	26936184	0	1	False
4775462	CP020626.1	31467978	0.0430107	0.927762	False
4775917	CP020629.1	27356682	0.133333	0.110857	False
4776019	CP020636.1	29406943	0	1	False
4776058	CP020621.1	6430342	0	1	False
4776209	CP020633.1	3096508	0.00860214	1	False
4776264	CP020624.1	8192998	0	1	False
4776533	CP020638.1	6907138	0	1	False
4777376	CP020634.1	13881064	-0.0634409	0.622808	False
4777723	CP020634.1	12388282	-0.23871	0.0721874	False
4777735	CP020624.1	33073038	0.0913978	0.572829	False
4777761	CP020634.1	2444412	0	1	False
4777891	CP020641.1	9000892	-0.283871	0.0386628	False
4779225	CP020639.1	17556815	-0.00752689	1	False
4780364	CP020621.1	4161194	0.191398	0.0932656	False
4780418	CP020628.1	22303299	-0.0311828	1	False
4780732	CP020631.1	20170742	-0.266667	0.00669954	False
4780824	CP020632.1	26025761	0.201075	0.0508527	False
4780949	CP020635.1	15018049	0	1	False
4781623	CP020634.1	30310374	0	1	False
4782030	CP020621.1	8168728	0.0892473	0.619679	False
4782221	CP020625.1	11035104	-0.104301	0.464368	False
4782250	CP020627.1	1655400	0	1	False
4782687	CP020628.1	14752063	0.155914	0.262188	False
4782795	CP020627.1	2049441	0	1	False
4782938	CP020627.1	14591498	0	1	False
4783295	CP020637.1	12887062	-0.0763441	0.713849	False
4784097	CP020631.1	1699628	0	1	False
4784223	CP020632.1	12892308	-0.335484	0.00486974	False
4784608	CP020627.1	1427583	0.00645161	1	False
4784773	CP020624.1	4346689	0	1	False
4785114	CP020628.1	9568188	-0.00860217	1	False
4785164	CP020630.1	7177443	0.190323	0.120525	False
4786115	CP020631.1	10167652	-0.0548387	0.85102	False
4786529	CP020629.1	28537863	0.0709677	0.68308	False
4788010	CP020633.1	32276763	-0.126882	0.273728	False
4788681	CP020622.1	22669585	0.134409	0.180461	False
4789480	CP020627.1	23871055	0	1	False
4789495	CP020642.1	773915	0.0387096	0.947758	False
4789865	CP020629.1	14052037	0.00430107	1	False
4790943	CP020631.1	8732663	0	1	False
4791755	CP020633.1	12455761	0.0892473	0.619679	False
4792526	CP020630.1	5250074	-0.173118	0.219929	False
4793621	CP020636.1	32728776	-0.0322581	1	False
4793645	CP020632.1	18405300	0	1	False
